Rk,G,Date,Tm,Opp,WL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
46,38,2022-01-26,TOR,CHI,L (-6),1,37:43:00,6,11,0.545,0,3,0,4,6,0.667,0,5,5,7,0,1,3,2,16,13.2,-10
47,39,2022-01-29,TOR,MIA,W (+4),1,56:20:00,7,13,0.538,3,6,0.5,5,6,0.833,3,6,9,3,1,0,3,4,22,17.7,9
48,40,2022-01-31,TOR,ATL,W (+6),1,35:49:00,3,7,0.429,0,2,0,1,1,1,2,4,6,1,1,3,2,2,7,6.9,9
49,41,2022-02-01,TOR,MIA,W (+4),1,41:37:00,5,13,0.385,1,2,0.5,0,0,,2,7,9,2,0,0,1,4,11,6.2,5
50,42,2022-02-03,TOR,CHI,W (+7),1,36:57:00,9,16,0.563,2,4,0.5,1,2,0.5,3,5,8,2,0,1,1,2,21,16.9,-8
51,43,2022-02-04,TOR,ATL,W (+11),1,38:21:00,6,11,0.545,1,2,0.5,3,4,0.75,1,8,9,4,2,0,5,1,16,12.8,2
52,44,2022-02-07,TOR,CHO,W (+15),1,30:59:00,4,9,0.444,1,2,0.5,6,7,0.857,0,8,8,3,1,0,2,5,15,11.4,7
53,45,2022-02-09,TOR,OKC,W (+19),1,31:05:00,5,9,0.556,1,1,1,6,6,1,0,2,2,4,0,0,1,1,17,14.7,22
54,46,2022-02-10,TOR,HOU,W (+19),1,33:29:00,4,9,0.444,1,5,0.2,0,0,,2,5,7,6,1,0,1,2,9,10.6,7
55,47,2022-02-12,TOR,DEN,L (-1),1,30:12:00,7,14,0.5,0,1,0,3,5,0.6,1,4,5,1,3,0,1,3,17,12.6,-8
56,48,2022-02-14,TOR,NOP,L (-30),1,20:21,2,10,0.2,0,2,0,1,2,0.5,2,2,4,0,0,1,0,0,5,1.1,-25
57,49,2022-02-16,TOR,MIN,W (+12),1,31:32:00,4,9,0.444,1,3,0.333,0,0,,0,4,4,4,3,1,1,0,9,11,0
58,50,2022-02-25,TOR,CHO,L (-32),1,31:57:00,13,18,0.722,0,1,0,2,2,1,2,3,5,1,2,0,3,1,28,22.2,-24
59,51,2022-02-26,TOR,ATL,L (-27),1,21:07,3,5,0.6,0,0,,0,0,,1,3,4,0,0,1,2,4,6,2.4,-25
60,52,2022-02-28,TOR,BRK,W (+36),1,34:07:00,12,14,0.857,1,1,1,3,4,0.75,9,7,16,4,5,1,5,1,28,34.1,30
61,53,2022-03-01,TOR,BRK,W (+1),1,41:07:00,8,13,0.615,0,1,0,2,2,1,3,7,10,4,1,1,3,1,18,17.4,0
62,54,2022-03-03,TOR,DET,L (-2),1,39:55:00,7,13,0.538,1,3,0.333,6,8,0.75,6,4,10,2,1,1,3,2,21,18.6,-2
63,55,2022-03-04,TOR,ORL,L (-6),1,37:30:00,4,15,0.267,1,5,0.2,1,1,1,2,3,5,4,0,2,3,2,10,3.8,-8
64,56,2022-03-06,TOR,CLE,L (-8),1,41:43:00,8,14,0.571,0,2,0,3,6,0.5,4,8,12,6,3,0,0,3,19,22.4,-2
65,57,2022-03-09,TOR,SAS,W (+15),1,34:22:00,8,12,0.667,0,0,,4,4,1,2,6,8,1,0,0,0,3,20,17.5,11
66,58,2022-03-11,TOR,PHO,W (+5),1,36:35:00,7,17,0.412,1,3,0.333,0,0,,3,3,6,1,5,2,2,1,15,13.6,-16
67,59,2022-03-12,TOR,DEN,W (+12),1,39:06:00,11,20,0.55,2,4,0.5,1,3,0.333,3,5,8,10,2,1,1,3,25,25.7,15
68,60,2022-03-14,TOR,LAL,W (+11),1,39:53:00,9,17,0.529,1,2,0.5,2,3,0.667,4,5,9,5,1,2,2,3,21,19.3,21
69,61,2022-03-16,TOR,LAC,W (+3),1,40:21:00,7,16,0.438,1,2,0.5,0,0,,1,3,4,1,1,0,2,1,15,7.5,7
70,62,2022-03-18,TOR,LAL,L (-5),1,42:21:00,14,21,0.667,1,4,0.25,2,2,1,4,13,17,6,1,0,2,1,31,31.4,5
71,63,2022-03-20,TOR,PHI,W (+5),1,42:08:00,6,21,0.286,1,5,0.2,0,3,0,3,3,6,4,1,0,2,2,13,3.5,5
72,64,2022-03-21,TOR,CHI,L (-14),1,35:29:00,3,9,0.333,0,1,0,2,2,1,2,4,6,5,0,2,3,5,8,5.4,-20
73,65,2022-03-24,TOR,CLE,W (+13),1,35:12:00,4,9,0.444,0,2,0,3,4,0.75,5,1,6,4,2,1,2,2,11,12.4,4
74,66,2022-03-26,TOR,IND,W (+40),1,31:25:00,8,11,0.727,0,1,0,3,4,0.75,1,5,6,7,0,1,0,1,19,21.5,25
75,67,2022-03-28,TOR,BOS,W (+3),1,30:11:00,5,12,0.417,0,3,0,0,0,,2,2,4,4,0,0,2,6,10,4,-10
76,68,2022-03-30,TOR,MIN,W (+23),1,24:53:00,7,9,0.778,0,0,,3,4,0.75,2,3,5,4,1,1,3,2,17,16.1,6
77,69,2022-04-01,TOR,ORL,W (+13),1,36:15:00,6,13,0.462,1,3,0.333,6,6,1,5,3,8,7,0,0,0,2,19,20.8,32
78,70,2022-04-03,TOR,MIA,L (-5),1,34:54:00,7,16,0.438,3,9,0.333,2,2,1,2,5,7,2,2,0,0,5,19,14.9,-3
79,71,2022-04-05,TOR,ATL,W (+10),1,35:24:00,7,13,0.538,1,3,0.333,4,7,0.571,6,8,14,1,0,0,0,1,19,18.4,6
80,72,2022-04-07,TOR,PHI,W (+5),1,40:36:00,6,12,0.5,1,3,0.333,0,0,,2,8,10,2,0,0,2,3,13,9,-7
81,73,2022-04-08,TOR,HOU,W (+2),1,33:40:00,7,13,0.538,0,2,0,2,2,1,2,2,4,2,1,0,2,1,16,11.7,8
82,74,2022-04-10,TOR,NYK,L (-11),1,21:31,3,5,0.6,1,2,0.5,0,0,,0,2,2,5,1,0,2,3,7,6.6,-7
1,1,2022-10-19,TOR,CLE,W (+3),1,32:20:00,7,14,0.5,1,1,1,0,0,,1,2,3,7,2,1,3,4,15,12.3,20
2,2,2022-10-21,TOR,BRK,L (-4),1,35:53:00,7,14,0.5,1,2,0.5,2,2,1,2,5,7,3,2,1,3,2,17,13.9,2
3,3,2022-10-22,TOR,MIA,L (-3),1,13:14,5,9,0.556,0,1,0,1,3,0.333,1,1,2,2,0,1,1,1,11,7.6,-8
4,,2022-10-24,TOR,MIA,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
